number,pokemon_name,pic_url,main_type,secondary_type,region,category,height,weight,pokemon_family,attack,defense,stamina,cp_range,hp_range,capture_rate,flee_rate,male_perc,female_perc,resistance,weakness,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks
1,Bulbasaur,https://static.wikia.nocookie.net/pokemongo/images/4/43/Bulbasaur.png,Grass,Poison,Kanto,Seed,0.7,6.9,Bulbasaur family,118,111,128,"12-1,115",12-113,20%,10%,87.50%,12.50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","['Tackle', 'Vine Whip', 'Power Whip', 'Seed Bomb', 'Sludge Bomb']"
2,Ivysaur,https://static.wikia.nocookie.net/pokemongo/images/8/86/Ivysaur.png,Grass,Poison,Kanto,Seed,1,13,Bulbasaur family,151,143,155,"19-1,699",14-134,10%,7%,87.50%,12.50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes ,No,Formerly  (1st tier level),No,Yes,Yes,"There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","['Razor Leaf', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Solar Beam']"
3,Venusaur,https://static.wikia.nocookie.net/pokemongo/images/b/be/Venusaur.png,Grass,Poison,Kanto,Seed,2,100,Bulbasaur family,198,189,190,"33-2,720",17-162,5%,5%,87.50%,12.50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"Standard Pokédex description
There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.","['Razor Leaf', 'Vine Whip', 'Petal Blizzard', 'Sludge Bomb', 'Solar Beam', 'Frenzy Plant']"
4,Charmander,https://static.wikia.nocookie.net/pokemongo/images/5/56/Charmander.png,Fire,,Kanto,Lizard,0.6,8.5,Charmander family,116,93,118,10-980,11-105,20%,10%,87.50%,12.50%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","['Ember', 'Scratch', 'Flame Burst', 'Flame Charge', 'Flamethrower']"
5,Charmeleon,https://static.wikia.nocookie.net/pokemongo/images/f/fb/Charmeleon.png,Fire,,Kanto,Flame,1.1,19,Charmander family,158,126,151,"19-1,653",14-131,10%,7%,87.50%,12.50%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes ,No,Formerly  (2nd tier level),Formerly ,Yes,Yes,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","['Ember', 'Fire Fang', 'Scratch', 'Fire Punch', 'Flame Burst', 'Flamethrower']"
6,Charizard,https://static.wikia.nocookie.net/pokemongo/images/9/95/Charizard.png,Fire,Flying,Kanto,Flame,1.7,90.5,Charmander family,223,173,186,"35-2,889",17-158,5%,5%,87.50%,12.50%,"{'62.5%': ['Fairy', 'Fighting', 'Fire', 'Ground', 'Steel'], '39%': ['Bug', 'Grass']}","{'160%': ['Electric', 'Water'], '256%': ['Rock']}",Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","['Air Slash', 'Fire Spin', 'Dragon Breath', 'Ember', 'Wing Attack', 'Dragon Claw', 'Fire Blast', 'Overheat', 'Blast Burn', 'Flamethrower']"
7,Squirtle,https://static.wikia.nocookie.net/pokemongo/images/e/e3/Squirtle.png,Water,,Kanto,Tiny,0.5,9,Squirtle family,94,121,127,10-946,11-112,20%,10%,87.50%,12.50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","['Bubble', 'Tackle', 'Aqua Jet', 'Aqua Tail', 'Water Pulse']"
8,Wartortle,https://static.wikia.nocookie.net/pokemongo/images/d/d7/Wartortle.png,Water,,Kanto,Turtle,1,22.5,Squirtle family,126,155,153,"17-1,488",14-132,10%,7%,87.50%,12.50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (2nd tier level),No,Yes,Yes,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","['Bite', 'Water Gun', 'Aqua Jet', 'Hydro Pump', 'Ice Beam']"
9,Blastoise,https://static.wikia.nocookie.net/pokemongo/images/4/41/Blastoise.png,Water,,Kanto,Shellfish,1.6,85.5,Squirtle family,171,207,188,"29-2,466",17-160,5%,5%,87.50%,12.50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (4th tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.","['Bite', 'Water Gun', 'Flash Cannon', 'Hydro Pump', 'Ice Beam', 'Skull Bash', 'Hydro Cannon']"
10,Caterpie,https://static.wikia.nocookie.net/pokemongo/images/0/05/Caterpie.png,Bug,,Kanto,Worm,0.3,2.9,Caterpie family,55,55,128,10-437,12-113,50%,20%,50%,50%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","['Bug Bite', 'Tackle', 'Struggle']"
