State,RainFall (in)
Mississippi,66.84
Louisiana,66.23
Alabama,65.06
Tennessee,58.89
Georgia,57.11
Florida,55.93
Massachusetts,54.81
Kentucky,53.44
Connecticut,51.27
Arkansas,50.85
Rhode Island,49.86
New Jersey,47.94
South Carolina,47.41
North Carolina,47.34
New York,46.3
Pennsylvania,46.07
New Hampshire,45.92
Indiana,45.37
Missouri,44.05
Washington,43.89
West Virginia,42.52
Ohio,41.71
Vermont,41.67
Maryland,41.53
Illinois,41.12
Virginia,40.86
Delaware,40.57
Maine,39.34
Oklahoma,33.64
Michigan,32.9
Iowa,31.07
Wisconsin,29.94
Texas,28.78
Oregon,28.49
Kansas,27.26
Minnesota,23.78
Nebraska,22.63
Idaho,21
California,18.9
South Dakota,18.14
Colorado,17.04
North Dakota,15.65
Wyoming,14.39
Montana,14.33
Utah,13.57
Arizona,12.61
New Mexico,12.38
Nevada,9.56
