RANK,Country,Happiness,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
1,Finland,7.821,7.886,7.756,2.518,1.892,1.258,0.775,0.736,0.109,0.534
2,Denmark,7.636,7.71,7.563,2.226,1.953,1.243,0.777,0.719,0.188,0.532
3,Iceland,7.557,7.651,7.464,2.32,1.936,1.32,0.803,0.718,0.27,0.191
4,Switzerland,7.512,7.586,7.437,2.153,2.026,1.226,0.822,0.677,0.147,0.461
5,Netherlands,7.415,7.471,7.359,2.137,1.945,1.206,0.787,0.651,0.271,0.419
6,Luxembourg,7.404,7.501,7.307,2.042,2.209,1.155,0.79,0.7,0.12,0.388
7,Sweden,7.384,7.454,7.315,2.003,1.92,1.204,0.803,0.724,0.218,0.512
8,Norway,7.365,7.44,7.29,1.925,1.997,1.239,0.786,0.728,0.217,0.474
9,Israel,7.364,7.426,7.301,2.634,1.826,1.221,0.818,0.568,0.155,0.143
10,New Zealand,7.2,7.279,7.12,1.954,1.852,1.235,0.752,0.68,0.245,0.483
11,Austria,7.163,7.237,7.089,2.148,1.931,1.165,0.774,0.623,0.193,0.329
12,Australia,7.162,7.244,7.081,2.011,1.9,1.203,0.772,0.676,0.258,0.341
13,Ireland,7.041,7.121,6.961,1.743,2.129,1.166,0.779,0.627,0.19,0.408
14,Germany,7.034,7.122,6.947,2.142,1.924,1.088,0.776,0.585,0.163,0.358
15,Canada,7.025,7.107,6.943,1.924,1.886,1.188,0.783,0.659,0.217,0.368
16,United States of America,6.977,7.065,6.888,2.214,1.982,1.182,0.628,0.574,0.22,0.177
17,United Kingdom,6.943,7.018,6.867,1.967,1.867,1.143,0.75,0.597,0.289,0.329
18,Czechia,6.92,7.029,6.811,2.263,1.815,1.26,0.715,0.66,0.158,0.048
19,Belgium,6.805,6.89,6.72,2.283,1.907,1.106,0.764,0.492,0.049,0.204
20,France,6.687,6.758,6.615,1.895,1.863,1.219,0.808,0.567,0.07,0.266
21,Bahrain,6.647,6.779,6.514,2.092,1.854,1.029,0.625,0.693,0.199,0.155
22,Slovenia,6.63,6.718,6.542,1.885,1.81,1.249,0.769,0.685,0.118,0.115
23,Costa Rica,6.582,6.683,6.481,2.346,1.584,1.054,0.744,0.661,0.089,0.102
24,United Arab Emirates,6.576,6.66,6.492,1.809,1.998,0.98,0.633,0.702,0.204,0.25
25,Saudi Arabia,6.523,6.637,6.409,2.075,1.87,1.092,0.577,0.651,0.078,0.18
26,Taiwan Province of China,6.512,6.596,6.429,2.002,1.897,1.095,0.733,0.542,0.075,0.168
27,Singapore,6.48,6.569,6.392,0.932,2.149,1.127,0.851,0.672,0.163,0.587
28,Romania,6.477,6.575,6.379,2.446,1.719,1.006,0.655,0.605,0.039,0.006
29,Spain,6.476,6.56,6.392,1.893,1.808,1.211,0.808,0.505,0.101,0.149
30,Uruguay,6.474,6.562,6.386,1.974,1.615,1.18,0.672,0.665,0.103,0.265
31,Italy,6.467,6.57,6.363,2.222,1.834,1.052,0.801,0.412,0.085,0.059
32,Kosovo,6.455,6.571,6.339,2.631,1.362,0.949,0.569,0.599,0.309,0.035
33,Malta,6.447,6.535,6.359,1.631,1.838,1.169,0.789,0.679,0.174,0.166
34,Lithuania,6.446,6.535,6.356,2.153,1.804,1.204,0.659,0.496,0.053,0.077
35,Slovakia,6.391,6.475,6.306,2.094,1.736,1.232,0.707,0.479,0.118,0.025
36,Estonia,6.341,6.415,6.266,1.442,1.793,1.232,0.728,0.689,0.123,0.333
37,Panama,6.309,6.464,6.154,2.086,1.715,1.107,0.709,0.592,0.049,0.051
38,Brazil,6.293,6.384,6.202,2.361,1.462,1.044,0.615,0.546,0.131,0.134
39,Guatemala*,6.262,6.46,6.064,2.746,1.274,0.831,0.522,0.662,0.112,0.115
40,Kazakhstan,6.234,6.33,6.138,1.86,1.668,1.22,0.611,0.584,0.134,0.157
41,Cyprus,6.221,6.32,6.122,2.044,1.815,0.909,0.819,0.448,0.123,0.062
42,Latvia,6.18,6.255,6.106,1.923,1.732,1.221,0.637,0.502,0.075,0.09
43,Serbia,6.178,6.294,6.062,2.031,1.55,1.086,0.658,0.546,0.219,0.088
44,Chile,6.172,6.262,6.082,2.04,1.651,1.08,0.748,0.46,0.124,0.069
45,Nicaragua,6.165,6.312,6.017,2.418,1.105,1.029,0.617,0.617,0.168,0.212
46,Mexico,6.128,6.238,6.017,2.239,1.552,0.886,0.623,0.621,0.092,0.115
47,Croatia,6.125,6.229,6.022,1.884,1.705,1.183,0.709,0.535,0.109,0
48,Poland,6.123,6.205,6.04,1.693,1.758,1.174,0.712,0.523,0.124,0.14
49,El Salvador,6.12,6.25,5.99,2.514,1.265,0.768,0.607,0.666,0.089,0.212
50,Kuwait*,6.106,6.235,5.977,1.621,1.904,0.983,0.747,0.617,0.087,0.147
51,Hungary,6.086,6.187,5.985,1.812,1.748,1.233,0.668,0.485,0.078,0.064
52,Mauritius,6.071,6.184,5.958,1.969,1.591,1.116,0.568,0.589,0.131,0.107
53,Uzbekistan,6.063,6.178,5.948,1.913,1.219,1.092,0.6,0.716,0.283,0.24
54,Japan,6.039,6.119,5.959,1.487,1.835,1.089,0.866,0.537,0.007,0.218
55,Honduras,6.022,6.189,5.855,2.611,1.111,0.885,0.555,0.582,0.202,0.076
56,Portugal,6.016,6.122,5.911,1.691,1.76,1.078,0.777,0.655,0.016,0.039
57,Argentina,5.967,6.09,5.844,1.891,1.592,1.102,0.662,0.555,0.081,0.085
58,Greece,5.948,6.043,5.853,2.119,1.703,0.98,0.774,0.249,0.015,0.108
59,South Korea,5.935,6.021,5.849,1.656,1.851,0.886,0.841,0.414,0.111,0.176
60,Philippines,5.904,6.007,5.8,2.283,1.268,0.912,0.514,0.678,0.107,0.142
61,Thailand,5.891,5.994,5.788,1.6,1.535,1.096,0.697,0.617,0.321,0.026
62,Moldova,5.857,5.948,5.766,2.142,1.417,1.008,0.597,0.561,0.102,0.028
63,Jamaica,5.85,6.023,5.676,2.164,1.296,1.045,0.646,0.567,0.08,0.053
64,Kyrgyzstan,5.828,5.916,5.741,2.087,1.069,1.109,0.638,0.693,0.208,0.025
65,Belarus*,5.821,5.95,5.693,1.811,1.562,1.157,0.629,0.342,0.04,0.282
66,Colombia,5.781,5.903,5.659,1.971,1.452,0.929,0.72,0.545,0.087,0.077
67,Bosnia and Herzegovina,5.768,5.877,5.659,1.869,1.468,1.068,0.665,0.448,0.244,0.006
